clumsy,不器用
subtle,微妙
traitor,裏切り者
fill her shoes,彼女の代わりをする
squalid,汚い
retreat,後退
provocation,挑発
overlooking,見下ろす
artisanal,職人技
gullet,金
crave,切望する
business pick up,ビジネスの回復
coword,共犯者
doom,運命
prick,刺す
grave,墓
lard,ラード
expedition,遠征
bunch,束
spile,プレイした
hail,雹
trincket,装身具
bald,ハゲ
riddance,リダンス
hone,磨き
intervene,介入
wrecked,難破した
speckling,斑点
beads,ビーズ
vows,誓い
cripple,不自由
impaled,突き刺された
omnious,全面的
bothering,気になる
afford,余裕ある
hold up,我慢する
transmitting,送信
taint,汚染
dignify,威厳
parlay,パーレイ
humble,謙虚な
appraise,評価
rite,準備ができて
incarn,転生
derangement,錯乱
seize,押収する
anomaly,異常
anomary,異常
graviyard,墓地
trove,宝庫
dredge,浚渫船
aggression,侵略
mess,混乱
wombs,子宮
extinction,絶滅
latrin,便所
evacuation,避難
struck,打たれた
invation,侵略
rites,儀式
amok,暴動
quaint,趣のある
quintessence,真髄
subordinate,下位
lurk,潜む
relinquish,放棄する
usurpation,簒奪
flourish,繁栄する
immense,巨大な
heritage,遺産
wellspring,源泉
slightest,ほんのわずか
perish,滅びる
atonement,償い
dedicated,ひたむきな
knowingly,故意に
possession,所持
profound,深遠な
reconstitute,再構成する
intact,無傷
hesitation,ためらい
orbital,軌道
firmly,しっかりと
combate,戦い
outward,外向き
